timestamp,device_id,device_type,status,output,good_output,defect_count,energy_kwh,temperature,vibration
2026-02-06 00:00:00,CNC-001,数控机床,运行,128,125,3,83.11,25.7,0.98
2026-02-06 00:00:00,CNC-002,数控机床,运行,130,129,1,73.86,23.4,1.58
2026-02-06 00:00:00,ROBOT-001,机械臂,运行,179,171,8,64.52,26.5,0.47
2026-02-06 00:00:00,ROBOT-002,机械臂,运行,182,174,8,60.02,27.4,1.33
2026-02-06 00:00:00,PRESS-001,冲压机,待机,0,0,0,36.0,19.7,0.0
2026-02-06 00:00:00,PRESS-002,冲压机,运行,140,134,6,113.8,23.7,0.78
2026-02-06 00:00:00,LASER-001,激光切割,故障,0,0,0,9.0,20.9,0.0
2026-02-06 00:00:00,LASER-002,激光切割,运行,79,76,3,88.67,31.1,1.87
2026-02-06 00:00:00,ASSEMBLY-001,装配线,运行,75,73,2,42.28,25.8,1.74
2026-02-06 00:00:00,ASSEMBLY-002,装配线,故障,0,0,0,3.8,20.9,0.0
2026-02-06 00:05:00,CNC-001,数控机床,运行,107,104,3,81.54,25.1,0.52
2026-02-06 00:05:00,CNC-002,数控机床,运行,102,98,4,82.81,33.0,0.36
2026-02-06 00:05:00,ROBOT-001,机械臂,待机,0,0,0,18.0,23.0,0.0
2026-02-06 00:05:00,ROBOT-002,机械臂,运行,169,162,7,52.89,30.8,1.75
2026-02-06 00:05:00,PRESS-001,冲压机,待机,0,0,0,36.0,20.5,0.0
2026-02-06 00:05:00,PRESS-002,冲压机,待机,0,0,0,33.0,24.9,0.0
2026-02-06 00:05:00,LASER-001,激光切割,运行,80,77,3,96.08,22.5,0.11
2026-02-06 00:05:00,LASER-002,激光切割,运行,112,110,2,89.54,23.9,1.83
2026-02-06 00:05:00,ASSEMBLY-001,装配线,运行,86,85,1,41.51,31.7,0.73
2026-02-06 00:05:00,ASSEMBLY-002,装配线,待机,0,0,0,11.4,23.6,0.0
2026-02-06 00:10:00,CNC-001,数控机床,运行,130,129,1,91.3,26.6,1.47
2026-02-06 00:10:00,CNC-002,数控机床,运行,129,125,4,84.47,20.9,0.95
